Pope Honorius III	教宗何諾三世，由公元1216年至1227年任第一百七十八任教宗
Pope Gregory IX	教宗國瑞九世，由公元1227年至1241年任第一百七十九任教宗
Pope Celestine IV	教宗雷定四世，公元1241年任第一百八十任教宗
Pope Innocent IV	教宗諾森四世，由公元1243年至1254年任第一百八十一任教宗
Pope Alexander IV	教宗歷山四世，由公元1254年至1261年任第一百八十二任教宗
Pope Urban IV	教宗伍朋四世，由公元1261年至1264年任第一百八十三任教宗
Pope Clement IV	教宗克勉四世，由公元1265年至1268年任第一百八十四任教宗
Pope Bl. Gregory X	教宗真褔國瑞十世，由公元1271年至1276年任第一百八十五任教宗
Pope Bl. Innocent V	教宗真褔諾森五世，公元1276年任第一百八十六任教宗
Pope Adrian V	教宗亞德五世，公元1276年任第一百八十七任教宗
Pope John XXI	教宗若望廿一世，由公元1276年至1277年任第一百八十八任教宗
Pope Nicholas III	教宗尼閣三世，由公元1277年至1280年任第一百八十九任教宗
Pope Martin IV	教宗瑪定四世，由公元1281年至1285年任第一百九十任教宗
Pope Honorius IV	教宗何諾四世，由公元1285年至1287年任第一百九十一任教宗
Pope Nicholas IV	教宗尼閣四世，由公元1288年至1292年任第一百九十二任教宗
Pope St. Celestine V	教宗聖雷定五世，公元1294年任第一百九十三任教宗
Pope Boniface VIII	教宗博義八世，由公元1294年至1303年任第一百九十四任教宗
Pope Bl. Benedict XI	教宗真褔本篤十一世，由公元1303年至1304年任第一百九十五任教宗
Pope Clement V	教宗克勉五世，由公元1305年至1314年任第一百九十六任教宗
Pope John XXII	教宗若望廿二世，由公元1316年至1334年任第一百九十七任教宗
Pope Nicholas V	偽教宗尼閣五世，由公元1328年至1330年任偽教宗
Pope Benedict XII	教宗本篤十二世，由公元1334年至1342年任第一百九十八任教宗
Pope Clement VI	教宗克勉六世，由公元1342年至1352年任第一百九十九任教宗
Pope Innocent VI	教宗諾森六世，由公元1352年至1362年任第二百任教宗
Pope Bl. Urban V 	教宗真褔伍朋五世，由公元1362年至1370年任第二百零一任教宗
Pope Gregory XI	教宗國瑞十一世，由公元1370年至1378年任第二百零二任教宗
Pope Urban VI	教宗伍朋六世，由公元1378年至1389年任第二百零三任教宗
Pope Boniface IX	教宗博義九世，由公元1389年至1404年任第二百零四任教宗
Pope Innocent VII	教宗諾森七世，由公元1404年至1406年任第二百零五任教宗
Pope Gregory XII	教宗國瑞十二世，由公元1406年至1415年任第二百零六任教宗
Pope Clement VII	偽教宗克勉七世，由公元1378年至1394年任偽教宗
Pope Benedict XIII	偽教宗本篤十三世，由公元1394年至1423年任偽教宗
Pope Alexander V	偽教宗歷山五世，由公元1409年至1410年任偽教宗
Pope John XXIII	偽教宗若望廿三世，由公元1410年至1415年任偽教宗
Pope Martin V	教宗瑪定五世，由公元1417年至1431年任第二百零七任教宗
Pope Eugene IV	教宗恩仁四世，由公元1431年至1447年任第二百零八任教宗
Pope Felix V	偽教宗斐利五世，由公元1440年至1449年任偽教宗
Pope Nicholas V	教宗尼閣五世，由公元1447年至1455年任第二百零九任教宗
Pope Callistus III	教宗嘉禮三世，由公元1455年至1458年任第二百一十任教宗
Pope Pius II	教宗碧岳二世，由公元1458年至1464年任第二百一十一任教宗
Pope Paul II	教宗保祿二世，由公元1464年至1471年任第二百一十二任教宗
Pope Sixtus IV	教宗思道四世，由公元1471年至1484年任第二百一十三任教宗
Pope Innocent VIII	教宗諾森八世，由公元1484年至1492年任第二百一十四任教宗
Pope Alexander VI	教宗歷山六世，由公元1492年至1503年任第二百一十五任教宗
Pope Pius III	教宗碧岳三世，公元1503年任第二百一十六任教宗
Pope Julius II	教宗猶利二世，由公元1503年至1513年任第二百一十七任教宗
Pope Leo X	教宗良十世，由公元1513年至1521年任第二百一十八任教宗
Pope Adrian VI	教宗亞德六世，由公元1522年至1523年任第二百一十九任教宗
Pope Clement VII	教宗克勉七世，由公元1523年至1534年任第二百二十任教宗
Pope Paul III	教宗保祿三世，由公元1534年至1549年任第二百二十一任教宗
Pope Julius III	教宗猶利三世，由公元1550年至1555年任第二百二十二任教宗
Pope Marcellus II	教宗才祿二世，公元1555年任第二百二十三任教宗
Pope Paul IV	教宗保祿四世，由公元1555年至1559年任第二百二十四任教宗
Pope Pius IV	教宗碧岳四世，由公元1559年至1565年任第二百二十五任教宗
Pope St. Pius V	教宗聖碧岳五世，由公元1566年至1572年任第二百二十六任教宗
Pope Gregory XIII	教宗國瑞十三世，由公元1572年至1585年任第二百二十七任教宗
Pope Sixtus V	教宗思道五世，由公元1585年至1590年任第二百二十八任教宗
Pope Urban VII	教宗伍朋七世，公元1590年任第二百二十九任教宗
Pope Gregory XIV	教宗國瑞十四世，由公元1590年至1591年任第二百三十任教宗
Pope Innocent IX	教宗諾森九世，公元1591年任第二百三十一任教宗
Pope Clement VIII	教宗克勉八世，由公元1592年至1605年任第二百三十二任教宗
Pope Leo XI	教宗良十一世，公元1605年任第二百三十三任教宗
Pope Paul V	教宗保祿五世，由公元1605年至1621年任第二百三十四任教宗
Pope Gregory XV	教宗國瑞十五世，由公元1621年至1623年任第二百三十五任教宗
Pope Urban VIII	教宗伍朋八世，由公元1623年至1644年任第二百三十六任教宗
Pope Innocent X	教宗諾森十世，由公元1644年至1655年任第二百三十七任教宗
Pope Alexander VII	教宗歷山七世，由公元1655年至1667年任第二百三十八任教宗
Pope Clement IX	教宗克勉九世，由公元1667年至1669年任第二百三十九任教宗
Pope Clement X	教宗克勉十世，由公元1670年至1676年任第二百四十任教宗
Pope Bl. Innocent XI	教宗真褔諾森十一世，由公元1676年至1689年任第二百四十一任教宗
Pope Alexander VIII	教宗歷山八世，由公元1689年至1691年任第二百四十二任教宗
Pope Innocent XII	教宗諾森十二世，由公元1691年至1700年任第二百四十三任教宗
Pope Clement XI	教宗克勉十一世，由公元1700年至1721年任第二百四十四任教宗
Pope Innocent XIII	教宗諾森十三世，由公元1721年至1724年任第二百四十五任教宗
Pope Benedict XIII	教宗本篤十三世，由公元1724年至1730年任第二百四十六任教宗
Pope Clement XII	教宗克勉十二世，由公元1730年至1740年任第二百四十七任教宗
Pope Benedict XIV	教宗本篤十四世，由公元1740年至1758年任第二百四十八任教宗
Pope Clement XIII	教宗克勉十三世，由公元1758年至1769年任第二百四十九任教宗
Pope Clement XIV	教宗克勉十四世，由公元1769年至1774年任第二百五十任教宗
Pope Pius VI	教宗碧岳六世，由公元1775年至1799年任第二百五十一任教宗
Pope Pius VII	教宗碧岳七世，由公元1800年至1823年任第二百五十二任教宗
Pope Leo XII	教宗良十二世，由公元1823年至1829年任第二百五十三任教宗
Pope Pius VIII	教宗碧岳八世，由公元1829年至1830年任第二百五十四任教宗
Pope Gregory XVI	教宗國瑞十六世，由公元1831年至1846年任第二百五十五任教宗
Pope Pius IX	教宗碧岳九世，由公元1846年至1878年任第二百五十六任教宗
Pope Leo XIII	教宗良十三世，由公元1878年至1903年任第二百五十七任教宗
Pope St. Pius X	教宗聖碧岳十世，由公元1903年至1914年任第二百五十八任教宗
Pope Benedict XV	教宗本篤十五世，由公元1914年至1922年任第二百五十九任教宗
Pope Pius XI	教宗碧岳十一世，由公元1922年至1939年任第二百六十任教宗
Pope Pius XII	教宗碧岳十二世，由公元1939年至1958年任第二百六十一任教宗
Pope Bl. John XXIII	教宗真褔若望廿三世，由公元1958年至1963年任第二百六十二任教宗
Pope Bl. Paul VI	教宗真福保祿六世，由公元1963年至1978年任第二百六十三任教宗
Pope John Paul I	教宗若望保祿一世，公元1978年任第二百六十四任教宗
Pope John Paul II	教宗若望保祿二世，由公元1978年至2005年任第二百六十五任教宗
Pope Benedict XVI	教宗本篤十六世，由公元2005年至2013年任第二百六十六任教宗
Pope Francis	教宗方濟各，由公元2013年至今任第二百六十七任教宗
